,GEOID,county,democrat,republican,other,id,victory_margin
0,42001,Adams County,14077,31249,1812,42001,0.364292079
1,42003,Allegheny County,363017,257488,22668,42003,-0.16407560599999998
2,42005,Armstrong County,6849,22676,921,42005,0.519838402
3,42007,Beaver County,30225,46081,2730,42007,0.20061744
4,42009,Bedford County,3613,19455,436,42009,0.6740129340000001
5,42011,Berks County,75169,93094,7671,42011,0.10188479800000001
6,42013,Blair County,13093,37224,1712,42013,0.463799035
7,42015,Bradford County,6263,17957,1179,42015,0.46041182700000005
8,42017,Bucks County,165861,163873,12838,42017,-0.00580316
9,42019,Butler County,26834,61388,3805,42019,0.375476762
10,42021,Cambria County,17798,40510,1859,42021,0.377482673
11,42023,Cameron County,469,1495,60,42023,0.5069169960000001
12,42025,Carbon County,8917,18714,1090,42025,0.341109293
13,42027,Centre County,36555,35099,3740,42027,-0.019311882
14,42029,Chester County,140188,115582,10867,42029,-0.092282766
15,42031,Clarion County,4256,12545,680,42031,0.47417195799999995
16,42033,Clearfield County,7700,23909,1083,42033,0.495809372
17,42035,Clinton County,4533,9701,605,42035,0.348271447
18,42037,Columbia County,8502,17387,1238,42037,0.327533454
19,42039,Crawford County,10215,23912,1436,42039,0.385147485
20,42041,Cumberland County,44282,65649,5137,42041,0.18569020100000003
21,42043,Dauphin County,64287,60620,5253,42043,-0.028173017999999998
22,42045,Delaware County,169169,106559,9104,42045,-0.219813785
23,42047,Elk County,3637,9704,513,42047,0.437924065
24,42049,Erie County,54820,57168,5252,42049,0.020027293999999998
25,42051,Fayette County,17826,34388,1212,42051,0.309998877
26,42053,Forest County,626,1680,92,42053,0.439532944
27,42055,Franklin County,17322,49554,2469,42055,0.464806403
28,42057,Fulton County,904,5676,163,42057,0.7076968709999999
29,42059,Greene County,4157,10394,404,42059,0.41705115299999995
30,42061,Huntingdon County,4487,14369,640,42061,0.506873205
31,42063,Indiana County,11468,24920,1340,42063,0.356552163
32,42065,Jefferson County,3437,14533,581,42065,0.5981348710000001
33,42067,Juniata County,1810,8234,358,42067,0.617573544
34,42069,Lackawanna County,51593,48102,3045,42069,-0.033978976
35,42071,Lancaster County,90066,137145,11940,42071,0.196858888
36,42073,Lawrence County,13933,25323,1299,42073,0.280853162
37,42075,Lebanon County,17860,38804,2242,42075,0.35554952
38,42077,Lehigh County,77087,70285,5659,42077,-0.04444851
39,42079,Luzerne County,51454,77508,3769,42079,0.19629174800000002
40,42081,Lycoming County,12926,35475,1893,42081,0.44834373899999996
41,42083,McKean County,3802,11159,611,42083,0.472450552
42,42085,Mercer County,17631,30034,1929,42085,0.250090737
43,42087,Mifflin County,3563,14050,626,42087,0.574976698
44,42089,Monroe County,31930,31706,2308,42089,-0.0033968220000000003
45,42091,Montgomery County,251063,160803,15623,42091,-0.21113993600000003
46,42093,Montour County,2851,5274,410,42093,0.283889865
47,42095,Northampton County,65936,71384,5455,42095,0.038157941
48,42097,Northumberland County,9184,24418,1369,42097,0.43561808399999996
49,42099,Perry County,4630,15613,910,42099,0.5192171320000001
50,42101,Philadelphia County,560542,105418,14267,42101,-0.669076646
51,42103,Pike County,9247,16035,784,42103,0.26041586699999997
52,42105,Potter County,1300,6247,230,42105,0.6361064679999999
53,42107,Schuylkill County,16724,43937,2089,42107,0.433673307
54,42109,Snyder County,3991,11710,632,42109,0.472601482
55,42111,Somerset County,7367,27347,1016,42111,0.559193955
56,42113,Sullivan County,756,2318,94,42113,0.493055556
57,42115,Susquehanna County,5065,13295,840,42115,0.428645833
58,42117,Tioga County,3642,12928,764,42117,0.535710165
59,42119,Union County,6138,10605,657,42119,0.256724138
60,42121,Venango County,5889,15254,953,42121,0.42383236799999996
61,42123,Warren County,4828,12032,764,42123,0.408760781
62,42125,Washington County,34436,58941,3568,42125,0.25277219
63,42127,Wayne County,6398,15269,698,42127,0.396646546
64,42129,Westmoreland County,59506,116427,5807,42129,0.313200176
65,42131,Wyoming County,3573,8375,470,42131,0.386696731
66,42133,York County,67428,126933,8792,42133,0.29290731600000003
